starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:34 2017	1489432714	0	154	154	149
Mon Mar 13 13:18:34 2017	1489432714	0	154	154	150
Mon Mar 13 13:18:36 2017	1489432716	0	154	154	147
Mon Mar 13 13:18:35 2017	1489432715	0	154	154	149
Mon Mar 13 13:18:35 2017	1489432715	0	155	155	151
Mon Mar 13 13:18:36 2017	1489432716	0	155	155	151
Mon Mar 13 13:18:35 2017	1489432715	0	156	156	155
Mon Mar 13 13:18:35 2017	1489432715	0	156	156	150
Mon Mar 13 13:18:34 2017	1489432714	0	156	156	148
Mon Mar 13 13:18:35 2017	1489432715	0	156	156	144
Mon Mar 13 13:18:34 2017	1489432714	0	157	157	149
Mon Mar 13 13:18:34 2017	1489432714	0	157	157	153
Mon Mar 13 13:18:34 2017	1489432714	0	157	157	156
Mon Mar 13 13:18:36 2017	1489432716	0	157	157	154
Mon Mar 13 13:18:36 2017	1489432716	0	157	157	155
Mon Mar 13 13:18:34 2017	1489432714	0	158	158	153
Mon Mar 13 13:18:34 2017	1489432714	0	158	158	151
Mon Mar 13 13:18:34 2017	1489432714	0	158	158	154
Mon Mar 13 13:18:35 2017	1489432715	0	158	158	152
Mon Mar 13 13:18:36 2017	1489432716	0	158	158	152
Mon Mar 13 13:18:35 2017	1489432715	0	158	158	151
Mon Mar 13 13:18:35 2017	1489432715	0	158	158	152
Mon Mar 13 13:18:36 2017	1489432716	0	158	158	154
Mon Mar 13 13:18:35 2017	1489432715	0	159	159	151
Mon Mar 13 13:18:34 2017	1489432714	0	159	159	152
Mon Mar 13 13:18:35 2017	1489432715	0	159	159	153
Mon Mar 13 13:18:35 2017	1489432715	0	159	159	153
Mon Mar 13 13:18:36 2017	1489432716	0	159	159	156
Mon Mar 13 13:18:34 2017	1489432714	0	159	159	157
Mon Mar 13 13:18:35 2017	1489432715	0	160	160	154
Mon Mar 13 13:18:36 2017	1489432716	0	160	160	154
